,movie,year,imdb,metascore,votes,gross (usd),n_imdb
918,Child 44,2015,6.5,41,59024,1206135,65.0
919,Office Christmas Party,2016,5.8,42,58841,54730514,58.0
920,Magic in the Moonlight,2014,6.6,54,58815,10506939,66.0
921,Salmon Fishing in the Yemen,2011,6.8,58,58675,9025107,68.0
922,Larry Crowne,2011,6.1,41,58644,35608245,61.0
923,Rust and Bone,2012,7.5,73,58619,2061449,75.0
924,Sisters,2015,6.0,58,58575,87044645,60.0
925,Exit Through the Gift Shop,2010,8.0,85,58539,3291250,80.0
926,Searching for Sugar Man,2012,8.2,79,58399,3965090,82.0
927,Blue Ruin,2013,7.1,77,58389,258113,71.0
928,Widows,2018,7.0,84,58262,42402632,70.0
929,The Signal,2014,6.1,54,58221,600896,61.0
930,The Devil's Double,2011,7.1,52,58205,1357042,71.0
931,Cars 3,2017,6.8,59,58158,152901115,68.0
932,Runner Runner,2013,5.6,36,58127,19316646,56.0
933,Paranormal Activity 4,2012,4.6,40,58127,53921300,46.0
934,The Night Before,2015,6.4,58,58111,43035725,64.0
935,The Man with the Iron Fists,2012,5.4,51,58073,15634090,54.0
936,13 Assassins,2010,7.6,84,57952,802524,76.0
937,Mamma Mia! Here We Go Again,2018,6.8,60,57784,120634935,68.0
938,Mr. Holmes,2015,6.9,67,57707,17737646,69.0
939,Anomalisa,2015,7.3,88,57539,3759286,73.0
940,When in Rome,2010,5.6,25,57211,32669555,56.0
941,American Assassin,2017,6.2,45,57111,36249674,62.0
942,Mr. Peabody & Sherman,2014,6.8,59,56986,111506430,68.0
943,Silent Hill: Revelation,2012,5.0,16,56543,17529157,50.0
944,Jigsaw,2017,5.8,39,56386,38052832,58.0
945,The Mountain Between Us,2017,6.4,48,56316,30348555,64.0
946,Blackfish,2013,8.1,83,56269,2063312,81.0
947,Trouble with the Curve,2012,6.8,58,55877,35763137,68.0
948,The Finest Hours,2016,6.8,58,55677,27550735,68.0
949,Like Crazy,2011,6.7,68,55660,3413908,67.0
950,Pan,2015,5.8,36,55601,35088320,58.0
951,Enough Said,2013,7.0,78,55538,17536788,70.0
952,Blockers,2018,6.2,69,55490,59839515,62.0
953,Sabotage,2014,5.7,41,55398,10508518,57.0
954,Red Lights,2012,6.2,36,55107,52624,62.0
955,Krampus,2015,6.2,49,55089,42592530,62.0
956,The Darkest Hour,2011,4.9,18,54901,21426805,49.0
957,Senna,2010,8.6,79,54761,1612430,86.0
958,Charlie St. Cloud,2010,6.5,37,54750,31162545,65.0
959,Paterson,2016,7.4,90,54453,2141423,74.0
960,Going the Distance,2010,6.3,51,54301,17804299,63.0
961,Something Borrowed,2011,5.9,36,54084,39046489,59.0
962,Aloha,2015,5.4,40,54061,20991497,54.0
963,Grudge Match,2013,6.4,35,53846,29807260,64.0
964,Bernie,2011,6.8,75,53588,9203192,68.0
965,Point Break,2015,5.3,34,53485,28782481,53.0
966,The Art of Getting By,2011,6.6,36,53450,1429260,66.0
967,The Possession,2012,5.9,45,53448,49130154,59.0
968,Drinking Buddies,2013,6.1,71,53403,342936,61.0
969,Takers,2010,6.2,45,53157,57744720,62.0
970,Jackass 3D,2010,7.0,56,53083,117224271,70.0
971,Step Up 3D,2010,6.2,45,52906,42400223,62.0
972,V/H/S,2012,5.8,55,52790,99770,58.0
973,Overlord,2018,6.7,60,52550,21704844,67.0
974,A Dog's Purpose,2017,7.1,43,52407,64508620,71.0
975,Zookeeper,2011,5.2,30,52143,80360843,52.0
976,Calvary,2014,7.4,77,52083,3593460,74.0
977,Miss Sloane,2016,7.5,64,51987,3439171,75.0
978,Hostiles,2017,7.2,65,51835,29819114,72.0
979,Jonah Hex,2010,4.7,33,51612,10539414,47.0
980,Win Win,2011,7.2,75,51551,10179275,72.0
981,Animal Kingdom,2010,7.3,83,51390,1044039,73.0
982,Poltergeist,2015,4.9,47,51322,47425125,49.0
983,True Story,2015,6.3,50,51320,4715819,63.0
984,Apollo 18,2011,5.2,24,51290,17686929,52.0
985,Criminal,2016,6.3,36,51275,14268533,63.0
986,Keeping Up with the Joneses,2016,5.9,34,51237,14896798,59.0
987,Sanctum,2011,5.9,42,51199,23070045,59.0
988,Step Up Revolution,2012,6.5,43,51122,35074677,65.0
989,Perfect Sense,2011,7.1,55,50967,2959,71.0
990,Good Time,2017,7.3,80,50766,2026499,73.0
991,The Boxtrolls,2014,6.8,61,50498,50837305,68.0
992,Stand Up Guys,2012,6.5,41,50414,3301046,65.0
993,Colossal,2016,6.2,70,50236,3021345,62.0
994,The Legend of Hercules,2014,4.2,22,50188,18848538,42.0
995,Christopher Robin,2018,7.3,60,50147,99215042,73.0
996,Gold,2016,6.7,49,50071,7222964,67.0
997,Storks,2016,6.8,56,50010,72679278,68.0
998,Irrational Man,2015,6.6,53,49997,4027764,66.0
999,The Little Prince,2015,7.7,70,49636,1339152,77.0
1000,All Good Things,2010,6.3,57,49535,578382,63.0
1001,Gnomeo & Juliet,2011,6.0,53,49314,99967670,60.0
1002,Vampire Academy,2014,5.5,31,49123,7791979,55.0
1003,The Mule,2018,7.1,58,49035,103804407,71.0
1004,Pete's Dragon,2016,6.7,71,48997,76233151,67.0
1005,Raw,2016,7.0,81,48975,508425,70.0
1006,Death Wish,2018,6.4,31,48896,34017028,64.0
1007,Winter's Tale,2014,6.2,31,48893,22451,62.0
1008,Arthur,2011,5.7,36,48866,33035397,57.0
1009,12 Strong,2018,6.6,54,48712,45495662,66.0
1010,Macbeth,2015,6.6,71,48654,1108247,66.0
1011,Draft Day,2014,6.8,54,48514,28831145,68.0
1012,Magic Mike XXL,2015,5.6,60,48261,66013057,56.0
1013,Woman in Gold,2015,7.3,51,48255,33305037,73.0
1014,Hesher,2010,7.0,45,48252,382946,70.0
1015,Ride Along 2,2016,5.9,32,48228,90835030,59.0
1016,Ice Age: Collision Course,2016,5.7,34,48188,64063008,57.0
1017,Blackhat,2015,5.4,51,48161,7097125,54.0
1018,Mary Poppins Returns,2018,6.9,66,48109,171958438,69.0
1019,The Dilemma,2011,5.3,46,48051,48475290,53.0
1020,Take Me Home Tonight,2011,6.3,42,48005,6923891,63.0
1021,Walk of Shame,2014,6.0,25,47917,39751,60.0
1022,Citizenfour,2014,8.1,88,47771,2800870,81.0
1023,Daddy's Home Two,2017,6.0,30,47609,104029443,60.0
1024,Everybody Wants Some!!,2016,7.0,83,47349,3369431,70.0
1025,Victor Frankenstein,2015,6.0,36,47179,5775076,60.0
1026,Live by Night,2016,6.4,49,46898,10377558,64.0
1027,The Snowman,2017,5.1,23,46757,6670765,51.0
1028,Popstar: Never Stop Never Stopping,2016,6.7,68,46749,9393835,67.0
1029,The East,2013,6.8,68,46670,2268296,68.0
1030,The Loft,2014,6.3,24,46661,5981749,63.0
1031,Arbitrage,2012,6.6,73,46636,7918283,66.0
1032,Ouija: Origin of Evil,2016,6.1,65,46600,34904885,61.0
1033,The Emoji Movie,2017,3.2,12,46551,86089513,32.0
1034,You Again,2010,5.8,28,46535,25702053,58.0
1035,Veronica Mars,2014,6.8,62,46526,3319109,68.0
1036,Ida,2013,7.4,91,46476,3827060,74.0
1037,The Dressmaker,2015,7.1,47,46452,2021399,71.0
1038,Don 2,2011,7.1,49,46329,3680306,71.0
1039,Mile 22,2018,6.1,38,46026,36108758,61.0
1040,Whiskey Tango Foxtrot,2016,6.6,57,45966,23049575,66.0
1041,The Back-up Plan,2010,5.4,34,45952,37490007,54.0
1042,The Spy Who Dumped Me,2018,6.0,52,45899,33562069,60.0
1043,'71,2014,7.2,83,45829,1268760,72.0
1044,Pride and Prejudice and Zombies,2016,5.8,45,45820,10907291,58.0
1045,The Light Between Oceans,2016,7.2,60,45759,12545979,72.0
1046,The Last Exorcism,2010,5.6,63,45716,41034350,56.0
1047,Martha Marcy May Marlene,2011,6.9,75,45706,2981638,69.0
1048,Everything Must Go,2010,6.4,65,45670,2711210,64.0
1049,A Ghost Story,2017,6.8,84,45658,1596371,68.0
1050,The Flowers of War,2011,7.6,46,45549,9213,76.0
1051,Paddington 2,2017,7.9,88,45400,40442052,79.0
1052,Johnny English Strikes Again,2018,6.2,39,45276,4280890,62.0
1053,Arthur Christmas,2011,7.1,69,45266,46462469,71.0
1054,Rabbit Hole,2010,7.0,76,45230,2229058,70.0
1055,The Beaver,2011,6.7,60,45044,970816,67.0
1056,Free State of Jones,2016,6.9,53,44720,20758378,69.0
1057,Masterminds,2016,5.8,47,44719,17356894,58.0
1058,Florence Foster Jenkins,2016,6.8,71,44642,27370107,68.0
1059,Bullet to the Head,2012,5.7,48,44632,9483821,57.0
1060,Only the Brave,2017,7.7,72,44628,18340051,77.0
1061,Chennai Express,2013,6.0,45,44586,5306729,60.0
1062,Last Night,2010,6.6,50,44581,98986,66.0
1063,Before We Go,2014,6.8,31,44543,37047,68.0
1064,Hot Pursuit,2015,5.1,31,44516,34507079,51.0
1065,London Boulevard,2010,6.2,52,44487,6911,62.0
1066,Don't Be Afraid of the Dark,2010,5.6,56,44391,24042490,56.0
1067,Pitch Perfect 3,2017,5.8,40,44285,104897530,58.0
1068,Tammy,2014,4.9,39,44139,84525432,49.0
1069,The Big Wedding,2013,5.6,28,44055,21784432,56.0
1070,Bad Words,2013,6.7,57,43910,7764027,67.0
1071,The Double,2013,6.5,68,43819,200268,65.0
1072,Vampires Suck,2010,3.4,18,43808,36661504,34.0
1073,Ouija,2014,4.5,38,43740,50856010,45.0
1074,Fair Game,2010,6.8,69,43705,9528092,68.0
1075,The Runaways,2010,6.6,65,43676,3571735,66.0
1076,The Square,2017,7.2,73,43573,1502347,72.0
1077,"I, Daniel Blake",2016,7.9,78,43572,258168,79.0
1078,Amy,2015,7.8,85,43549,8413144,78.0
1079,Song of the Sea,2014,8.1,85,43538,857524,81.0
1080,The SpongeBob Movie: Sponge Out of Water,2015,6.0,62,43133,162994032,60.0
1081,The Man Who Knew Infinity,2015,7.2,56,43116,3866794,72.0
1082,Footloose,2011,5.9,58,43078,51802742,59.0
1083,Fifty Shades Freed,2018,4.5,31,42940,100407760,45.0
1084,Leviathan,2014,7.6,92,42921,1092800,76.0
1085,Bachelorette,2012,5.3,53,42917,447954,53.0
1086,Seeking Justice,2011,6.2,38,42760,41081,62.0
1087,Battle of the Sexes,2017,6.7,73,42666,12638526,67.0
1088,Joe,2013,6.9,74,42654,373375,69.0
1089,Mommy,2014,8.1,74,42648,3492754,81.0
1090,The Odd Life of Timothy Green,2012,6.6,47,42630,51853450,66.0
1091,Mandy,2018,6.6,81,42621,1214525,66.0
1092,The Lunchbox,2013,7.8,76,42333,4231500,78.0
1093,The Beguiled,2017,6.3,77,42045,10576669,63.0
1094,The Collection,2012,6.1,38,42027,6842058,61.0
1095,The Imposter,2012,7.5,77,42002,892409,75.0
1096,The Zero Theorem,2013,6.1,50,41893,219438,61.0
1097,The Pirates! Band of Misfits,2012,6.7,73,41793,31051126,67.0
1098,Death at a Funeral,2010,5.7,51,41706,42739347,57.0
1099,Cosmopolis,2012,5.0,58,41676,743636,50.0
1100,Hector and the Search for Happiness,2014,7.0,29,41579,1121961,70.0
1101,You Will Meet a Tall Dark Stranger,2010,6.3,51,41526,3247816,63.0
1102,Hobo with a Shotgun,2011,6.1,55,41498,703002,61.0
1103,Kon-Tiki,2012,7.2,62,41481,1517410,72.0
1104,Soul Surfer,2011,7.1,53,41460,43853424,71.0
1105,Instant Family,2018,7.4,57,41455,67363237,74.0
1106,Force Majeure,2014,7.3,87,41431,1358561,73.0
1107,Kill the Irishman,2011,7.1,50,41327,1187711,71.0
1108,Sinister 2,2015,5.3,32,41260,27736779,53.0
1109,Stolen,2012,5.5,43,41194,304318,55.0
1110,Keanu,2016,6.3,63,41189,20566327,63.0
1111,While We're Young,2014,6.3,77,41122,7574066,63.0
1112,Mr. Right,2015,6.3,52,41100,25369,63.0
1113,"Two Days, One Night",2014,7.3,89,41093,1436243,73.0
1114,Insidious: The Last Key,2018,5.7,49,41032,67347895,57.0
1115,Kill the Messenger,2014,7.0,60,41012,2450846,70.0
1116,The Company Men,2010,6.8,69,40963,4439063,68.0
1117,The Past,2013,7.8,85,40940,1330596,78.0
1118,Black Death,2010,6.4,71,40925,22554,64.0
1119,Think Like a Man,2012,6.6,51,40883,91547205,66.0
1120,How Do You Know,2010,5.4,46,40877,30212620,54.0
1121,Million Dollar Arm,2014,7.0,56,40861,36447959,70.0
1122,Far from the Madding Crowd,2015,7.1,71,40859,12229314,71.0
1123,Hotel Transylvania 3: Summer Vacation,2018,6.3,54,40847,167510016,63.0
1124,A Royal Affair,2012,7.6,73,40786,1546761,76.0
1125,The Salesman,2016,7.8,85,40714,2402067,78.0
1126,Eighth Grade,2018,7.5,89,40643,13539709,75.0
1127,Tusk,2014,5.3,55,40540,1821983,53.0
1128,The Space Between Us,2017,6.4,33,40464,7829766,64.0
1129,Dhoom 3,2013,5.4,61,40299,8031955,54.0
1130,The Rover,2014,6.4,64,40246,1109199,64.0
1131,The First Purge,2018,5.1,54,40172,69086325,51.0
1132,Scouts Guide to the Zombie Apocalypse,2015,6.3,32,40169,3635292,63.0
1133,Somewhere,2010,6.3,67,40103,1768416,63.0
1134,A Haunted House,2013,5.1,20,40085,40041683,51.0
1135,Tully,2018,7.0,75,39839,9227130,70.0
1136,Detroit,2017,7.4,77,39774,16790139,74.0
1137,Planes,2013,5.7,39,39741,90288712,57.0
1138,The Sessions,2012,7.2,79,39657,6002451,72.0
1139,Conviction,2010,7.2,61,39627,6783129,72.0
1140,MacGruber,2010,5.5,43,39604,8460995,55.0
1141,Alpha,2018,6.7,63,39562,35851379,67.0
1142,Ferdinand,2017,6.7,58,39528,84410380,67.0
1143,People Like Us,2012,7.1,49,39474,12412386,71.0
1144,The Big Year,2011,6.2,53,39417,7204138,62.0
1145,Gone,2012,5.9,36,39320,11653123,59.0
1146,Friends with Kids,2011,6.1,55,39266,7250054,61.0
1147,Trespass,2011,5.3,37,39256,16816,53.0
1148,Trust,2010,6.9,60,39256,120016,69.0
1149,Starred Up,2013,7.4,81,39167,34100,74.0
1150,Labor Day,2013,6.9,52,39013,13362308,69.0
1151,The Peanuts Movie,2015,7.1,67,38975,130178411,71.0
1152,Loving Vincent,2017,7.8,62,38948,6735118,78.0
1153,Son of Saul,2015,7.5,90,38883,1777043,75.0
1154,The Boss,2016,5.4,40,38809,63034755,54.0
1155,I Feel Pretty,2018,5.4,48,38778,48795601,54.0
1156,Before I Fall,2017,6.4,58,38768,12230791,64.0
1157,Laggies,2014,6.4,63,38714,440338,64.0
1158,A Man Called Ove,2015,7.7,70,38665,3358518,77.0
1159,Stake Land,2010,6.5,66,38642,18469,65.0
1160,Stone,2010,5.4,58,38589,1796024,54.0
1161,Monte Carlo,2011,5.8,43,38576,23186769,58.0
1162,Catfish,2010,7.1,65,38568,3234373,71.0
1163,Hope Springs,2012,6.3,65,38550,63536011,63.0
1164,Rough Night,2017,5.2,51,38524,22062200,52.0
1165,Robin Hood,2018,5.3,32,38499,30824628,53.0
1166,Maggie,2015,5.6,52,38497,187112,56.0
1167,Sorry to Bother You,2018,7.0,80,38452,17493096,70.0
1168,Diary of a Wimpy Kid,2010,6.2,56,38412,64003625,62.0
1169,One for the Money,2012,5.3,22,38359,26414527,53.0
1170,47 Metres Down,2017,5.6,52,38356,44307191,56.0
1171,Happy Feet Two,2011,5.9,50,38181,64006466,59.0
1172,Ip Man 3,2015,7.1,57,38147,2679437,71.0
1173,The Belko Experiment,2016,6.1,44,37989,10164675,61.0
1174,Slow West,2015,6.9,72,37975,229094,69.0
1175,Byzantium,2012,6.5,66,37971,84293,65.0
1176,Anthropoid,2016,7.2,59,37906,2959288,72.0
1177,God's Not Dead,2014,4.8,16,37894,60755732,48.0
1178,Anonymous,2011,6.9,50,37825,4463292,69.0
1179,Toni Erdmann,2016,7.4,93,37824,1478960,74.0
1180,On the Road,2012,6.1,56,37770,717753,61.0
1181,Endless Love,2014,6.3,30,37686,23393765,63.0
1182,Ben-Hur,2016,5.7,38,37662,26384681,57.0
1183,Tooth Fairy,2010,5.0,36,37648,60022256,50.0
1184,The Lazarus Effect,2015,5.2,31,37421,25799043,52.0
1185,Brick Mansions,2014,5.7,40,37404,20285518,57.0
1186,Secret in Their Eyes,2015,6.3,45,37158,20180155,63.0
1187,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,6.2,54,37019,66954149,62.0
1188,Paranormal Activity: The Marked Ones,2014,5.0,42,36963,32462372,50.0
1189,Piranha 3DD,2012,3.7,24,36869,376512,37.0
1190,CHIPS,2017,6.0,28,36617,18591819,60.0
1191,The Skeleton Twins,2014,6.8,74,36601,5283379,68.0
1192,Blair Witch,2016,5.0,47,36579,20777061,50.0
1193,The Spy Next Door,2010,5.5,27,36539,24268828,55.0
1194,Camp X-Ray,2014,6.9,54,36534,9837,69.0
1195,In a Better World,2010,7.6,65,36439,1008098,76.0
1196,Deadfall,2012,6.3,52,36386,65804,63.0
1197,The Broken Circle Breakdown,2012,7.8,70,36277,175058,78.0
1198,The Fifth Estate,2013,6.2,49,36217,3254172,62.0
1199,The Forest,2016,4.8,34,36214,26583369,48.0
1200,A Thousand Words,2012,5.9,26,36188,18438149,59.0
1201,Talaash,2012,7.3,65,36152,2706375,73.0
1202,The Transporter Refueled,2015,5.2,32,36034,16027866,52.0
1203,The Gunman,2015,5.8,39,35874,10640645,58.0
1204,Sleeping with Other People,2015,6.5,64,35853,814775,65.0
1205,Lovelace,2013,6.2,51,35799,356582,62.0
1206,A Hologram for the King,2016,6.1,58,35788,4198126,61.0
1207,Free Fire,2016,6.4,63,35569,1798472,64.0
1208,Ra.One,2011,4.8,60,35502,2511689,48.0
1209,Goodnight Mommy,2014,6.7,81,35310,1168902,67.0
1210,The 100 Year-Old Man Who Climbed Out the Window and Disappeared,2013,7.1,58,35271,1083762,71.0
1211,Morgan,2016,5.8,48,35076,3912052,58.0
1212,Wish I Was Here,2014,6.7,43,34778,3588432,67.0
1213,Maps to the Stars,2014,6.2,67,34752,347648,62.0
1214,The Hunter,2011,6.8,63,34724,176432,68.0
1215,Cedar Rapids,2011,6.3,70,34720,6857503,63.0
1216,Fist Fight,2017,5.6,37,34712,32187017,56.0
1217,Pawn Sacrifice,2014,7.0,65,34695,2436062,70.0
1218,The Boy Next Door,2015,4.7,30,34626,35385560,47.0
1219,Promised Land,2012,6.6,55,34565,7597898,66.0
1220,Meet the Blacks,2016,5.9,26,34484,9093856,59.0
1221,Once Upon a Time in Anatolia,2011,7.9,82,34425,138730,79.0
1222,The Railway Man,2013,7.1,59,34396,4438438,71.0
1223,The To Do List,2013,5.8,61,34369,3447339,58.0
1224,Hot Tub Time Machine 2,2015,5.1,29,34293,12282677,51.0
1225,A Wrinkle in Time,2018,4.2,53,34283,100478608,42.0
1226,John Dies at the End,2012,6.4,53,34265,141307,64.0
1227,Peppermint,2018,6.5,29,34209,35418723,65.0
1228,Suffragette,2015,6.9,67,34093,4693356,69.0
1229,I Give It a Year,2013,5.7,50,34010,32514,57.0
1230,The Smurfs 2,2013,5.4,34,33998,71017784,54.0
1231,Liberal Arts,2012,6.7,55,33963,317190,67.0
1232,Rings,2017,4.5,25,33824,27780085,45.0
1233,The Paperboy,2012,5.8,45,33811,692640,58.0
1234,Wild Target,2010,6.8,41,33806,117190,68.0
1235,Greenberg,2010,6.1,76,33611,4216789,61.0
1236,The Guilt Trip,2012,5.8,50,33605,37134215,58.0
1237,The Divide,2011,5.8,28,33516,22000,58.0
1238,High-Rise,2015,5.6,65,33458,343139,56.0
1239,The Devil Inside,2012,4.2,18,33425,53261944,42.0
1240,Killing Season,2013,5.4,25,33416,27713,54.0
1241,Tangerines,2013,8.2,73,33221,144501,82.0
1242,Left Behind,2014,3.1,12,33218,13998282,31.0
1243,Flatliners,2017,5.2,27,33194,16866403,52.0
1244,V/H/S/2,2013,6.1,49,33125,21833,61.0
1245,Regression,2015,5.7,32,33087,54734,57.0
1246,The House That Jack Built,2018,6.9,42,33081,87008,69.0
1247,The Last Days on Mars,2013,5.5,46,33055,23838,55.0
1248,Paranoia,2013,5.7,32,33045,7376027,57.0
1249,Stronger,2017,7.0,76,32971,4211129,70.0
1250,Cake,2014,6.4,49,32945,1873547,64.0
1251,Suspiria,2018,6.8,64,32942,2474044,68.0
1252,The Cold Light of Day,2012,4.9,22,32916,3749061,49.0
1253,The Roommate,2011,4.9,23,32896,37300107,49.0
1254,The Green Inferno,2013,5.3,38,32871,7192291,53.0
1255,The Salvation,2014,6.7,64,32745,5000,67.0
1256,In the Land of Blood and Honey,2011,4.4,56,32738,303877,44.0
1257,Man of Tai Chi,2013,6.1,52,32728,100144,61.0
1258,Shaun the Sheep Movie,2015,7.4,81,32700,19375982,74.0
1259,Kill List,2011,6.4,67,32602,26297,64.0
1260,A Bad Moms Christmas,2017,5.5,42,32556,72110659,55.0
1261,Adrift,2018,6.6,56,32482,31445012,66.0
1262,Kill Your Darlings,2013,6.5,65,32458,1029949,65.0
1263,Truth or Dare,2018,5.1,35,32439,40717020,51.0
1264,The House,2017,5.6,30,32423,25481529,56.0
1265,The Human Centipede II (Full Sequence),2011,3.8,17,32406,122890,38.0
1266,Cyrus,2010,6.3,74,32398,7455447,63.0
1267,First Reformed,2017,7.1,85,32372,3448256,71.0
1268,Maniac,2012,6.1,47,32359,20551,61.0
1269,Hit and Run,2012,6.1,50,32348,13746550,61.0
1270,The Stanford Prison Experiment,2015,6.9,67,32302,643557,69.0
1271,Leave No Trace,2018,7.2,88,32245,6046104,72.0
1272,Love & Mercy,2014,7.4,80,32073,12547189,74.0
1273,We Are Your Friends,2015,6.2,46,32046,3590010,62.0
1274,The 33,2015,6.9,55,32038,12188642,69.0
1275,Cold in July,2014,6.8,73,31877,414623,68.0
1276,Black Sea,2014,6.4,62,31801,1171559,64.0
1277,Admission,2013,5.7,48,31733,18004225,57.0
1278,Red Tails,2012,5.9,46,31720,49876377,59.0
1279,Hunter Killer,2018,6.6,43,31685,15767460,66.0
1280,20th Century Women,2016,7.3,83,31680,5663855,73.0
1281,Cold War,2018,7.6,90,31677,4572545,76.0
1282,The Illusionist,2010,7.5,82,31655,2231474,75.0
1283,The Killer Inside Me,2010,6.1,53,31653,214966,61.0
1284,"McFarland, USA",2015,7.4,60,31537,44469602,74.0
1285,The House with a Clock in Its Walls,2018,6.1,57,31504,68549695,61.0
1286,The Zookeeper's Wife,2017,7.0,57,31494,17445186,70.0
1287,Unsane,2018,6.4,63,31125,7732899,64.0
1288,Annie,2014,5.3,33,31068,85911262,53.0
1289,Rubber,2010,5.8,59,31046,98017,58.0
1290,Papillon,2017,7.1,51,30973,2335896,71.0
1291,The Innkeepers,2011,5.5,64,30966,77501,55.0
1292,The Act of Killing,2012,8.2,90,30908,486919,82.0
1293,Suburbicon,2017,5.6,42,30891,5775178,56.0
1294,Alex Cross,2012,5.1,30,30885,25888412,51.0
1295,American Honey,2016,7.0,79,30869,662786,70.0
1296,The One I Love,2014,7.1,66,30834,511635,71.0
1297,Straw Dogs,2011,5.8,45,30669,10324441,58.0
1298,Jiro Dreams of Sushi,2011,7.9,77,30665,2550508,79.0
1299,The Take,2016,6.3,48,30626,39000,63.0
1300,Paul Blart: Mall Cop 2,2015,4.4,13,30604,71038190,44.0
1301,[REC] 3: Genesis,2012,5.0,45,30597,8973,50.0
1302,Mustang,2015,7.6,83,30591,845464,76.0
1303,Race,2016,7.1,56,30559,19097994,71.0
1304,Welcome to the Punch,2013,6.1,49,30465,6787,61.0
1305,This Must Be the Place,2011,6.7,61,30332,142242,67.0
1306,Jersey Boys,2014,6.8,54,30292,47034272,68.0
1307,Flypaper,2011,6.4,37,30282,1098,64.0
1308,Step Up All In,2014,6.0,45,30264,14904384,60.0
1309,Personal Shopper,2016,6.2,77,29848,1305195,62.0
1310,The Whistleblower,2010,7.2,59,29718,1120914,72.0
1311,The Choice,2016,6.6,26,29713,18709066,66.0
1312,Snatched,2017,4.5,45,29697,45825314,45.0
1313,The Company You Keep,2012,6.4,57,29587,5132442,64.0
1314,Coriolanus,2011,6.1,79,29567,756452,61.0
1315,Adore,2013,6.2,37,29560,317125,62.0
1316,Samsara,2011,8.5,65,29491,2601847,85.0
1317,13 Sins,2014,6.3,44,29368,9134,63.0
1318,In a World...,2013,6.7,79,29302,2962542,67.0
1319,Sleeping Beauty,2011,5.3,57,29194,37710,53.0
1320,A Long Way Down,2014,6.4,34,29165,13093,64.0
1321,The Sisters Brothers,2018,7.0,78,29164,3143056,70.0
1322,Hotel Artemis,2018,6.1,58,28986,6708147,61.0
1323,Hysteria,2011,6.7,53,28929,1800000,67.0
1324,Chasing Mavericks,2012,7.2,45,28901,6002756,72.0
1325,Muppets Most Wanted,2014,6.4,61,28879,51183113,64.0
1326,Unfinished Business,2015,5.4,32,28826,10214013,54.0
1327,Girls Trip,2017,6.2,71,28801,115108515,62.0
1328,The Second Best Exotic Marigold Hotel,2015,6.6,51,28781,33078266,66.0
1329,The Tale of The Princess Kaguya,2013,8.0,89,28779,1506975,80.0
1330,Hop,2011,5.4,41,28687,108085305,54.0
1331,Young & Beautiful,2013,6.8,63,28668,48022,68.0
1332,The Grandmaster,2013,6.6,73,28650,6594959,66.0
1333,Compliance,2012,6.4,68,28568,318622,64.0
1334,Beautiful Boy,2018,7.3,62,28562,7649973,73.0
1335,Kidnap,2017,5.9,44,28540,30718107,59.0
1336,Big Game,2014,5.4,53,28496,16909,54.0
1337,The Three Stooges,2012,5.1,56,28455,44338224,51.0
1338,The Grinch,2018,6.3,51,28433,270620950,63.0
1339,Free Solo,2018,8.2,83,28403,17539736,82.0
1340,Upstream Color,2013,6.7,81,28351,444098,67.0
1341,Mother's Day,2016,5.7,18,28350,32463917,57.0
1342,Tyrannosaur,2011,7.6,65,28330,22088,76.0
1343,Happythankyoumoreplease,2010,6.8,45,28293,215576,68.0
1344,Shoplifters,2018,8.0,93,28010,3311687,80.0
1345,"Men, Women & Children",2014,6.7,38,27972,461162,67.0
1346,Alvin and the Chipmunks: Chipwrecked,2011,4.4,24,27939,133110742,44.0
1347,Land of Mine,2015,7.8,75,27891,435266,78.0
1348,Alan Partridge,2013,6.9,66,27875,152211,69.0
1349,Loving,2016,7.0,79,27825,7696098,70.0
1350,The Wave,2015,6.7,68,27750,176637,67.0
1351,45 Years,2015,7.1,94,27720,4250507,71.0
1352,The Way,2010,7.4,64,27639,4430650,74.0
1353,American Animals,2018,7.0,68,27621,2856954,70.0
1354,The Homesman,2014,6.6,68,27559,2428883,66.0
1355,Celeste & Jesse Forever,2012,6.6,59,27502,3094687,66.0
1356,The Two Faces of January,2014,6.2,66,27430,506067,62.0
1357,Peter Rabbit,2018,6.6,51,27297,115253424,66.0
1358,Danny Collins,2015,7.0,58,27294,5348317,70.0
1359,Playing for Keeps,2012,5.7,27,27286,13101142,57.0
1360,In the House,2012,7.4,72,27148,354244,74.0
1361,Can You Ever Forgive Me?,2018,7.2,87,27125,8803865,72.0
1362,Cop Car,2015,6.3,66,26941,128002,63.0
1363,The Diary of a Teenage Girl,2015,6.9,87,26836,1477002,69.0
1364,Instructions Not Included,2013,7.6,55,26692,44467206,76.0
1365,Ingrid Goes West,2017,6.6,71,26666,3024308,66.0
1366,99 Homes,2014,7.1,76,26519,1410915,71.0
1367,The Immigrant,2013,6.6,77,26468,2013456,66.0
1368,The Conspirator,2010,6.9,55,26347,11538204,69.0
1369,A Little Bit of Heaven,2011,6.3,14,26344,10011,63.0
1370,"Everything, Everything",2017,6.4,52,26235,34000284,64.0
1371,From Up on Poppy Hill,2011,7.5,71,26214,1002895,75.0
1372,Another Year,2010,7.3,80,26180,3205706,73.0
1373,The Girl in the Spider's Web,2018,6.1,43,26152,14841338,61.0
1374,How I Live Now,2013,6.5,57,26051,60213,65.0
1375,Revenge,2017,6.3,81,26015,102091,63.0
