,movie,year,imdb,metascore,votes,gross (usd),n_imdb
143,Scott Pilgrim vs. the World,2010,7.5,69,336976,31494270,75.0
144,The Cabin in the Woods,2011,7.0,72,336419,42073277,70.0
145,Brave,2012,7.1,69,336245,237283207,71.0
146,Furious 7,2015,7.2,67,333378,353007020,72.0
147,Bohemian Rhapsody,2018,8.1,49,329913,216303339,81.0
148,Easy A,2010,7.1,72,328388,58401464,71.0
149,Fast Five,2011,7.3,66,328324,209837675,73.0
150,Sicario,2015,7.6,82,325723,46889293,76.0
151,Cloud Atlas,2012,7.4,55,325340,27108272,74.0
152,Moneyball,2011,7.6,87,324680,75605492,76.0
153,Justice League,2017,6.5,45,324324,229024295,65.0
154,127 Hours,2010,7.6,82,322177,18335230,76.0
155,The Town,2010,7.6,74,321035,92186262,76.0
156,Super 8,2011,7.0,72,319496,127004179,70.0
157,22 Jump Street,2014,7.0,71,317509,191719337,70.0
158,Friends with Benefits,2011,6.6,63,315835,55802754,66.0
159,The Fighter,2010,7.8,79,315196,93617009,78.0
160,Boyhood,2014,7.9,100,314406,25379975,79.0
161,The Fault in Our Stars,2014,7.7,69,312961,124872350,77.0
162,Room,2015,8.2,86,312953,14677674,82.0
163,Mission: Impossible - Rogue Nation,2015,7.4,75,309385,195042377,74.0
164,Men in Black 3,2012,6.8,58,307562,179020854,68.0
165,Passengers,2016,7.0,41,307510,100014699,70.0
166,The Expendables,2010,6.5,45,306665,103068524,65.0
167,The Big Short,2015,7.8,81,306413,70259870,78.0
168,Maleficent,2014,7.0,56,303135,241410378,70.0
169,The Shape of Water,2017,7.3,87,302613,63859435,73.0
170,The Lego Movie,2014,7.8,83,302146,257760692,78.0
171,Due Date,2010,6.5,51,301972,100539043,65.0
172,Flight,2012,7.3,76,301618,93772375,73.0
173,The Equalizer,2014,7.2,57,299857,101530738,72.0
174,50/50,2011,7.7,72,299317,35014192,77.0
175,A Quiet Place,2018,7.6,82,296573,188024361,76.0
176,Ready Player One,2018,7.5,64,295584,137690172,75.0
177,TRON: Legacy,2010,6.8,49,294927,172062763,68.0
178,Moonrise Kingdom,2012,7.8,84,290256,45512466,78.0
179,Monsters University,2013,7.3,65,289857,268492764,73.0
180,The Interview,2014,6.5,52,285046,6105175,65.0
181,Les Misérables,2012,7.6,63,284418,148809770,76.0
182,Hugo,2011,7.5,83,283751,73864507,75.0
183,Jack Reacher,2012,7.0,50,283124,80070736,70.0
184,Real Steel,2011,7.1,56,282733,85468508,71.0
185,True Grit,2010,7.6,80,282639,171243005,76.0
186,Transformers: Age of Extinction,2014,5.7,32,282113,245439076,57.0
187,Fifty Shades of Grey,2015,4.1,46,277578,166167230,41.0
188,The Expendables 2,2012,6.6,51,276529,85017401,66.0
189,Salt,2010,6.4,65,276258,118311368,64.0
190,How to Train Your Dragon 2,2014,7.8,76,275281,177002924,78.0
191,The Secret Life of Walter Mitty,2013,7.3,54,274236,58236838,73.0
192,Taken 2,2012,6.3,45,271908,139854287,63.0
193,RED,2010,7.1,60,270559,90380162,71.0
194,The Book of Eli,2010,6.9,53,269876,94835059,69.0
195,John Wick: Chapter 2,2017,7.5,75,269738,92029184,75.0
196,Coco,2017,8.4,81,269396,209726015,84.0
197,The Hangover Part III,2013,5.8,30,268895,112200072,58.0
198,The Bourne Legacy,2012,6.7,61,267509,113203870,67.0
199,Neighbors,2014,6.3,68,264554,150157400,63.0
200,Venom,2018,6.8,35,264548,213515506,68.0
201,300: Rise of an Empire,2014,6.2,48,261497,106580051,62.0
202,Bridge of Spies,2015,7.6,81,261403,72313754,76.0
203,About Time,2013,7.8,55,259036,15322921,78.0
204,10 Cloverfield Lane,2016,7.2,76,258384,71897215,72.0
205,Snow White and the Huntsman,2012,6.1,57,257961,155332381,61.0
206,Pitch Perfect,2012,7.2,66,255223,65001093,72.0
207,Clash of the Titans,2010,5.8,39,255055,163214888,58.0
208,Prince of Persia: The Sands of Time,2010,6.6,50,253510,90759676,66.0
209,Insidious,2010,6.9,52,252149,54009150,69.0
210,Green Lantern,2011,5.5,39,251199,116601172,55.0
211,The Hunger Games: Mockingjay - Part 2,2015,6.6,65,249823,281723902,66.0
212,Zero Dark Thirty,2012,7.4,95,249719,95720716,74.0
213,The Dictator,2012,6.4,58,249546,59650222,64.0
214,Bridesmaids,2011,6.8,75,248447,169106725,68.0
215,Lone Survivor,2013,7.5,60,245430,125095601,75.0
216,Aquaman,2018,7.1,55,242372,335061807,71.0
217,The Jungle Book,2016,7.4,77,239548,364001123,74.0
218,The Hunt,2012,8.3,77,239262,687185,83.0
219,The Man from U.N.C.L.E.,2015,7.3,56,238927,45445109,73.0
220,Robin Hood,2010,6.7,53,238605,105269730,67.0
221,John Carter,2012,6.6,51,238313,73078100,66.0
222,Jumanji: Welcome to the Jungle,2017,7.0,58,238305,404515480,70.0
223,A Star Is Born,2018,7.8,88,237911,215288866,78.0
224,The Nice Guys,2016,7.4,70,237841,36261763,74.0
225,Kick-Ass 2,2013,6.6,41,237215,28795985,66.0
226,Beauty and the Beast,2017,7.2,65,235052,504014165,72.0
227,The A-Team,2010,6.8,47,234491,77222099,68.0
228,Unknown,2011,6.9,56,234388,63686397,69.0
229,Snowpiercer,2013,7.1,84,234237,4563650,71.0
230,Olympus Has Fallen,2013,6.5,41,234038,98925640,65.0
231,Non-Stop,2014,7.0,56,233712,92168600,70.0
232,Dredd,2012,7.1,60,233656,13414714,71.0
233,Kong: Skull Island,2017,6.6,62,233188,168052812,66.0
234,The World's End,2013,7.0,81,232503,26004851,70.0
235,Terminator Genisys,2015,6.4,38,232369,89760956,64.0
236,The Accountant,2016,7.3,51,231467,86260045,73.0
237,Ant-Man and the Wasp,2018,7.1,70,229339,216648740,71.0
238,Dark Shadows,2012,6.2,55,228524,79727149,62.0
239,Chronicle,2012,7.1,69,228485,64575175,71.0
240,Noah,2014,5.8,68,228424,101200044,58.0
241,The Grey,2011,6.8,64,228017,51580136,68.0
242,Lincoln,2012,7.4,86,227766,182207973,74.0
243,Total Recall,2012,6.3,43,227630,58877969,63.0
244,Mission: Impossible - Fallout,2018,7.8,86,227318,220159104,78.0
245,The Adjustment Bureau,2011,7.1,60,226739,62495645,71.0
246,Kung Fu Panda 2,2011,7.2,67,226601,165249063,72.0
247,Kingsman: The Golden Circle,2017,6.8,44,226518,100234838,68.0
248,The Place Beyond the Pines,2012,7.3,68,225716,21383298,73.0
249,Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.6,39,225387,172558876,66.0
250,Moonlight,2016,7.4,99,224913,27850912,74.0
251,Battleship,2012,5.8,41,224662,65422625,58.0
252,Alien: Covenant,2017,6.4,65,224376,74262031,64.0
253,Warcraft: The Beginning,2016,6.9,32,224188,47365290,69.0
254,Predestination,2014,7.5,69,223718,68372,75.0
255,Annihilation,2018,6.9,79,223475,32732301,69.0
256,The Descendants,2011,7.3,84,222972,82584160,73.0
257,Creed,2015,7.6,82,222535,109767581,76.0
258,Seven Psychopaths,2012,7.2,66,222504,15024049,72.0
259,Moana,2016,7.6,81,221388,248757044,76.0
260,The Other Guys,2010,6.7,64,220547,119219978,67.0
261,Paul,2011,7.0,57,219553,37412945,70.0
262,Solo: A Star Wars Story,2018,7.0,62,219523,213767512,70.0
263,Sucker Punch,2011,6.1,33,217655,36392502,61.0
264,I Am Number Four,2011,6.1,36,216957,55100437,61.0
265,The Artist,2011,7.9,89,216509,44671682,79.0
266,Don Jon,2013,6.6,66,215475,24477704,66.0
267,Rango,2011,7.2,75,214564,123477607,72.0
268,The Twilight Saga: Breaking Dawn - Part 2,2012,5.5,52,213951,292298923,55.0
269,Now You See Me 2,2016,6.5,46,213526,65075540,65.0
270,Jurassic World: Fallen Kingdom,2018,6.2,51,213328,417719760,62.0
271,Lawless,2012,7.3,58,213295,37400127,73.0
272,Spy,2015,7.0,75,212917,110825712,70.0
273,Chappie,2015,6.8,41,212706,31569268,68.0
274,Manchester by the Sea,2016,7.8,96,212570,47695120,78.0
275,Finding Dory,2016,7.3,77,211467,486295561,73.0
276,Ender's Game,2013,6.6,51,210853,61737191,66.0
277,The Twilight Saga: Eclipse,2010,5.0,58,210600,300531751,50.0
278,Escape Plan,2013,6.7,49,210575,25132228,67.0
279,End of Watch,2012,7.6,68,210386,41003371,76.0
280,Grown Ups,2010,6.0,30,209344,162001186,60.0
